rank,feature,category,perm_importance_mean,perm_importance_std
1,sttl,基础网络特征,0.22289,0.00147
2,ct_state_ttl,连接计数特征,0.00893,0.0014
3,sbytes,基础网络特征,0.00718,0.00132
4,ct_srv_src,连接计数特征,0.00613,0.00154
5,ct_srv_dst,连接计数特征,0.00566,0.00155
6,dmean,基础网络特征,0.00527,0.00066
7,ct_dst_src_ltm,连接计数特征,0.00425,0.00123
8,service_dns,协议类别one-hot,0.00381,0.00051
9,ct_dst_sport_ltm,连接计数特征,0.00379,0.0005
10,sloss,基础网络特征,0.00305,0.00093
11,synack,时序/时延特征,0.00273,0.00071
12,smean,基础网络特征,0.00267,7e-05
13,dinpkt,时序/时延特征,0.00178,0.00066
14,sjit,时序/时延特征,0.00164,0.00023
15,ct_dst_ltm,连接计数特征,0.0016,0.00054
16,dbytes,基础网络特征,0.00139,0.00068
17,ackdat,时序/时延特征,0.00119,0.00037
18,proto_unas,协议类别one-hot,0.00117,0.00015
19,response_body_len,基础网络特征,0.00099,8e-05
20,ct_src_dport_ltm,连接计数特征,0.00095,0.00089
21,ct_src_ltm,连接计数特征,0.00085,0.00055
22,trans_depth,基础网络特征,0.00078,0.00068
23,state_CON,协议类别one-hot,0.00073,0.0002
24,dur,基础网络特征,0.0007,0.00054
25,service_http,协议类别one-hot,0.00068,0.00079
26,sinpkt,时序/时延特征,0.00054,0.00024
27,dloss,基础网络特征,0.00045,0.00046
28,dtcpb,基础网络特征,0.00038,0.00042
29,stcpb,基础网络特征,0.00034,0.00068
30,spkts,基础网络特征,0.00028,0.00038
31,ct_flw_http_mthd,基础网络特征,0.00026,8e-05
32,proto_sctp,协议类别one-hot,0.00023,8e-05
33,rate,基础网络特征,0.00022,9e-05
34,proto_swipe,协议类别one-hot,0.00019,0.0
35,service_smtp,协议类别one-hot,0.00017,0.00039
36,swin,基础网络特征,7e-05,9e-05
37,proto_ipv6,协议类别one-hot,6e-05,8e-05
38,proto_sep,协议类别one-hot,6e-05,8e-05
39,proto_ospf,协议类别one-hot,5e-05,9e-05
40,dpkts,基础网络特征,4e-05,0.00038
41,state_URN,协议类别one-hot,0.0,0.0
42,state_no,协议类别one-hot,0.0,0.0
43,service_radius,协议类别one-hot,0.0,0.0
44,service_ssl,协议类别one-hot,0.0,0.0
45,service_snmp,协议类别one-hot,0.0,0.0
46,service_ssh,协议类别one-hot,0.0,0.0
47,state_ECO,协议类别one-hot,0.0,0.0
48,state_FIN,协议类别one-hot,0.0,0.0
49,state_PAR,协议类别one-hot,0.0,0.0
50,state_RST,协议类别one-hot,0.0,0.0
51,proto_vmtp,协议类别one-hot,0.0,0.0
52,proto_visa,协议类别one-hot,0.0,0.0
53,proto_xtp,协议类别one-hot,0.0,0.0
54,proto_zero,协议类别one-hot,0.0,0.0
55,proto_xns-idp,协议类别one-hot,0.0,0.0
56,proto_xnet,协议类别one-hot,0.0,0.0
57,proto_wb-mon,协议类别one-hot,0.0,0.0
58,proto_wsn,协议类别one-hot,0.0,0.0
59,proto_vines,协议类别one-hot,0.0,0.0
60,proto_uti,协议类别one-hot,0.0,0.0
61,proto_wb-expak,协议类别one-hot,0.0,0.0
62,proto_vrrp,协议类别one-hot,0.0,0.0
63,service_irc,协议类别one-hot,0.0,0.0
64,service_pop3,协议类别one-hot,0.0,0.0
65,service_dhcp,协议类别one-hot,0.0,0.0
